sensor_id,timestamp,waste_type,inductive_property,capacitive_property,moisture_property,infrared_property
2,2024-01-31 02:00:00,2,0.67,0.98,0.79,20.21
4,2024-01-17 01:30:00,1,0.77,0.13,0.06,89.86
1,2024-03-25 20:15:00,2,0.72,0.67,0.42,48.6
3,2024-03-07 23:45:00,0,0.82,0.16,0.82,25.67
2,2024-02-27 17:00:00,0,0.8,0.7,0.97,49.37
2,2024-03-02 21:00:00,0,0.64,0.59,0.72,78.83
1,2024-01-12 06:45:00,1,0.71,0.83,0.69,94.01
1,2024-03-06 16:30:00,2,0.63,0.23,0.42,49.49
1,2024-03-07 18:15:00,2,1.03,0.32,0.84,34.22
1,2024-02-06 16:45:00,2,1.39,0.39,0.86,17.34
4,2023-11-23 03:00:00,0,1.19,0.61,0.85,4.01
4,2023-12-26 22:15:00,2,1.4,0.9,0.61,38.44
2,2023-12-28 06:00:00,1,1.35,0.25,0.04,19.56
4,2023-11-18 00:15:00,2,1.34,0.01,0.17,41.35
1,2024-02-25 13:30:00,0,1.4,0.5,0.47,35.32
3,2024-02-14 17:00:00,0,1.11,0.19,0.81,89.09
4,2023-12-04 22:30:00,0,1.38,0.45,0.58,35.39
3,2023-10-20 20:15:00,0,0.88,0.64,0.9,89.98
3,2024-03-08 12:30:00,2,1.18,0.44,0.63,69.75
3,2024-02-05 12:00:00,1,0.78,0.83,0.44,10.12
1,2024-03-17 17:45:00,2,0.85,0.99,0.46,74.14
3,2023-09-24 14:30:00,1,0.96,0.33,0.9,54.96
1,2023-09-05 08:30:00,2,1.07,0.48,0.34,47.48
3,2023-11-03 05:30:00,2,1.27,0.86,0.62,66.51
3,2023-10-05 11:15:00,1,1.37,0.14,0.59,71.07
3,2024-01-13 12:00:00,0,0.82,0.83,0.28,50.38
4,2023-12-21 20:15:00,2,1.38,0.17,0.64,31.19
1,2024-02-03 07:15:00,1,1.32,0.53,0.54,30.25
1,2024-01-25 09:30:00,1,1.12,0.43,0.08,83.96
2,2024-02-26 06:15:00,2,1.09,0.72,0.67,38.5
4,2023-11-09 21:00:00,0,0.69,0.93,1.0,81.3
4,2023-12-31 17:45:00,2,0.68,0.32,0.16,33.4
2,2024-02-06 00:00:00,0,1.38,0.08,0.88,53.63
4,2023-12-30 08:45:00,2,0.66,0.31,0.8,57.01
4,2023-11-08 13:30:00,2,1.36,0.54,0.17,16.47
2,2024-02-08 00:00:00,0,1.28,0.93,0.02,65.45
4,2024-03-22 23:30:00,0,1.19,0.71,0.6,83.84
1,2024-01-15 15:45:00,1,1.01,0.07,0.54,96.14
2,2023-09-20 19:15:00,1,0.89,0.14,0.09,54.46
1,2024-01-27 08:45:00,0,1.21,0.72,0.45,15.21
1,2023-10-17 15:15:00,0,1.39,1.0,0.06,92.15
4,2024-01-04 16:15:00,0,1.28,0.86,0.34,47.93
4,2024-01-09 06:45:00,2,0.78,0.39,0.27,55.34
4,2023-12-18 04:30:00,0,0.98,0.66,0.19,94.0
4,2024-01-09 00:45:00,1,1.13,0.98,0.69,83.21
2,2024-03-06 01:30:00,2,0.72,0.05,0.15,13.73
4,2023-10-02 23:45:00,2,1.26,0.67,0.67,84.69
2,2023-09-15 04:45:00,0,1.37,0.41,0.86,99.64
4,2024-03-27 17:00:00,2,1.24,0.92,0.95,47.06
4,2023-11-07 15:30:00,2,1.3,0.39,0.45,64.18
2,2023-12-10 11:45:00,0,1.12,0.07,0.26,83.27
3,2023-10-08 21:15:00,1,0.87,0.92,0.81,47.48
1,2023-12-17 15:45:00,0,1.2,0.41,0.23,25.07
2,2024-03-05 23:30:00,2,1.23,0.26,0.15,92.03
1,2024-01-31 22:45:00,2,1.04,0.84,0.58,92.91
3,2023-11-08 14:30:00,0,1.16,0.03,0.79,52.21
4,2024-02-18 11:45:00,1,1.3,0.5,0.89,94.96
1,2023-12-26 06:00:00,2,0.67,0.48,0.91,84.05
1,2023-11-14 17:15:00,1,1.3,0.27,0.31,30.95
1,2024-03-13 20:00:00,1,0.69,0.93,0.2,49.63
2,2023-10-26 14:00:00,2,1.05,0.18,0.76,57.05
1,2024-02-20 16:00:00,0,1.05,0.91,0.24,73.14
1,2023-09-19 07:00:00,0,1.05,0.5,0.41,46.22
4,2024-02-01 19:30:00,1,1.16,0.62,0.37,1.37
4,2023-10-22 17:30:00,1,0.66,0.3,0.69,73.49
2,2023-09-08 08:30:00,1,1.11,0.67,0.93,68.01
4,2024-01-15 11:30:00,0,0.93,0.84,0.93,53.23
2,2023-09-10 17:30:00,2,0.92,0.07,0.82,78.88
1,2024-02-27 05:15:00,2,0.67,0.56,0.32,31.66
3,2024-01-24 23:15:00,2,0.84,0.71,0.24,67.25
1,2023-10-07 11:15:00,2,1.09,1.0,0.24,8.8
1,2023-10-26 10:15:00,0,1.05,0.58,0.85,95.19
4,2024-01-03 20:45:00,0,0.73,0.78,0.62,30.93
1,2024-03-15 15:00:00,2,0.86,0.09,0.81,82.61
3,2023-10-22 22:45:00,2,1.37,0.84,0.21,35.04
2,2024-01-13 01:00:00,0,0.8,0.07,0.32,55.89
1,2024-02-27 21:45:00,0,0.98,0.02,0.37,49.08
2,2023-10-31 07:30:00,0,0.92,0.11,0.06,90.36
3,2023-10-19 04:00:00,0,0.93,0.23,0.69,19.95
2,2024-03-23 06:00:00,2,0.9,0.45,0.95,32.49
3,2023-09-25 11:15:00,0,0.62,0.07,0.19,52.35
2,2023-10-29 15:30:00,2,0.71,0.63,0.33,79.25
2,2023-10-21 00:15:00,0,1.3,0.54,0.56,6.81
2,2023-12-05 19:00:00,2,1.08,0.33,0.83,56.0
3,2023-11-07 21:30:00,0,0.84,0.16,0.45,98.79
1,2024-03-25 03:45:00,2,1.1,0.92,0.57,19.58
4,2023-11-21 22:30:00,2,1.39,0.38,0.38,7.46
2,2023-10-31 23:30:00,0,0.94,0.68,0.7,47.8
3,2024-01-13 13:15:00,0,1.28,0.77,0.19,95.76
1,2023-09-26 15:00:00,0,0.67,0.13,0.33,2.96
3,2023-12-07 06:45:00,1,0.7,0.82,0.29,88.58
1,2024-03-13 13:45:00,1,1.26,0.14,0.01,75.93
2,2023-10-29 09:15:00,0,0.78,0.55,0.89,47.75
4,2024-03-10 00:45:00,2,1.04,0.27,0.0,57.52
3,2024-03-22 12:45:00,0,0.95,0.61,0.45,28.42
2,2024-03-03 01:45:00,1,0.77,0.14,0.59,42.24
3,2024-03-22 09:30:00,1,0.99,0.23,0.53,45.43
1,2024-01-09 03:15:00,0,0.75,0.29,1.0,22.26
2,2023-12-28 04:00:00,0,0.87,0.29,0.87,97.98
2,2024-01-04 05:45:00,0,0.7,0.7,0.98,6.24
2,2023-12-19 22:30:00,2,0.84,0.1,0.97,27.32
3,2024-03-20 14:00:00,2,0.94,0.51,0.5,23.59
4,2024-03-01 11:15:00,2,1.05,0.54,0.27,70.35
1,2023-10-18 14:15:00,0,1.26,0.1,0.48,77.89
2,2024-02-14 14:30:00,0,0.75,0.69,0.92,46.57
4,2023-10-25 12:00:00,2,0.87,0.88,0.6,76.3
3,2023-11-18 02:45:00,1,0.65,0.4,0.72,96.71
3,2024-02-01 10:30:00,1,1.19,0.16,0.42,59.37
2,2024-01-27 10:45:00,2,1.36,0.03,0.23,29.44
4,2024-01-02 14:30:00,1,0.92,0.56,0.35,56.03
1,2023-12-20 05:45:00,0,0.94,1.0,0.05,97.8
3,2024-02-14 16:30:00,2,0.92,0.48,0.81,38.63
4,2024-03-09 18:00:00,2,0.84,0.38,0.34,53.74
3,2023-12-30 12:30:00,0,1.35,0.47,0.77,90.3
4,2023-10-13 01:45:00,0,0.8,0.17,0.24,42.62
3,2024-02-09 07:45:00,0,1.2,0.61,0.94,90.46
2,2023-09-22 20:00:00,0,0.77,0.21,0.75,30.58
4,2024-02-06 15:30:00,0,1.29,0.53,0.04,15.77
4,2024-03-23 10:15:00,2,0.62,0.09,0.55,2.17
4,2023-12-20 10:15:00,2,1.25,0.95,0.11,44.26
3,2024-03-14 02:45:00,0,1.39,0.59,0.93,64.32
3,2023-09-11 15:15:00,1,1.12,0.36,0.77,17.75
1,2023-12-28 20:45:00,1,1.29,0.86,0.75,88.62
3,2024-01-18 22:15:00,2,0.78,0.53,0.16,43.5
1,2023-12-22 22:45:00,1,1.33,0.01,0.24,89.29
4,2024-02-21 07:00:00,0,1.09,0.69,0.26,25.71
2,2023-10-22 20:00:00,0,1.01,0.57,0.92,37.98
2,2024-02-12 13:45:00,0,0.93,0.01,0.27,45.91
4,2023-10-17 06:00:00,2,1.07,0.39,0.51,48.04
2,2023-09-19 15:30:00,0,0.73,0.61,0.83,14.78
4,2023-09-06 07:15:00,0,0.79,0.08,0.04,10.58
4,2024-02-14 19:15:00,2,1.1,0.83,0.84,74.64
4,2024-01-10 23:45:00,2,0.76,0.17,0.66,13.82
3,2023-10-14 21:45:00,1,1.13,0.68,0.12,87.77
3,2024-01-30 12:15:00,1,1.28,0.01,0.39,38.07
2,2024-02-21 08:15:00,0,1.33,0.24,0.08,37.78
3,2024-01-23 16:30:00,2,0.98,0.4,0.4,42.61
3,2023-09-01 18:15:00,1,0.88,0.33,0.93,97.17
4,2023-09-05 11:30:00,2,1.14,0.98,0.46,5.4
1,2024-03-20 20:00:00,2,1.06,0.11,0.75,38.29
1,2023-12-01 03:30:00,1,0.61,0.86,0.35,4.01
3,2023-09-20 01:15:00,2,1.23,0.85,0.33,6.19
2,2023-09-27 08:30:00,2,0.71,0.25,0.62,2.41
3,2023-10-15 23:45:00,2,0.81,0.91,0.93,0.74
4,2024-01-22 18:30:00,0,1.13,0.83,0.99,75.93
3,2024-03-08 17:30:00,1,1.12,0.01,0.76,60.8
2,2023-09-02 07:00:00,0,0.79,0.77,0.68,76.54
3,2023-10-19 21:45:00,2,0.87,0.31,0.74,73.74
4,2023-10-01 14:30:00,0,1.05,0.5,0.36,24.93
2,2024-03-08 02:30:00,2,1.25,0.59,0.54,19.49
1,2023-10-09 01:00:00,2,1.18,0.08,0.11,10.81
4,2023-09-11 14:00:00,1,1.0,0.04,0.39,74.11
4,2023-10-20 10:00:00,1,0.96,0.52,0.49,19.41
4,2023-11-11 23:00:00,0,0.9,0.24,0.65,45.0
1,2023-10-08 22:00:00,1,1.02,0.97,0.32,63.22
1,2024-02-09 06:15:00,0,0.74,0.45,0.49,89.33
2,2024-01-20 11:00:00,2,1.17,0.73,0.43,24.48
4,2024-03-23 04:15:00,1,0.74,0.03,0.03,30.79
1,2024-02-08 13:15:00,2,0.67,0.4,0.17,76.24
3,2023-10-20 13:30:00,1,1.22,0.29,0.33,48.15
2,2024-02-25 12:45:00,1,1.09,0.52,0.91,67.3
4,2023-10-24 07:30:00,0,0.8,0.74,0.49,86.22
1,2024-01-29 23:00:00,2,0.68,0.81,0.23,2.46
3,2024-02-07 06:15:00,0,1.2,0.19,0.63,41.8
4,2023-10-24 03:00:00,0,1.37,0.15,0.2,58.45
4,2023-11-18 03:30:00,1,0.83,0.9,0.86,77.71
1,2023-10-10 08:45:00,2,1.18,0.02,0.52,3.78
3,2024-02-27 19:15:00,2,0.71,0.06,0.32,79.79
1,2024-02-01 12:45:00,0,1.39,0.86,0.54,6.26
1,2023-12-22 14:45:00,2,0.85,0.64,0.54,31.19
1,2024-01-28 00:30:00,1,1.06,0.09,0.94,92.51
1,2024-01-01 07:15:00,1,1.36,0.34,0.18,38.05
4,2023-12-26 01:45:00,2,0.88,0.42,0.1,79.95
3,2023-12-27 19:45:00,2,1.23,0.48,0.91,16.49
4,2024-02-22 23:15:00,1,1.05,0.54,0.98,59.91
2,2023-09-27 23:45:00,0,1.14,0.09,0.39,98.13
1,2023-09-10 12:00:00,0,0.75,0.6,0.97,86.21
3,2024-01-04 04:45:00,1,1.21,0.38,0.56,41.92
4,2024-02-02 08:15:00,1,1.28,0.89,0.29,46.41
2,2023-12-27 02:00:00,2,1.1,0.95,0.23,66.76
4,2023-11-14 10:30:00,1,0.63,0.05,0.92,32.07
3,2023-12-03 17:45:00,0,1.07,0.53,0.11,37.49
4,2024-03-05 21:30:00,2,1.09,0.72,0.5,98.36
2,2024-03-21 23:30:00,2,1.32,0.84,0.49,77.85
1,2024-01-06 03:00:00,2,1.12,0.87,0.68,8.57
4,2023-11-21 00:30:00,2,1.17,0.15,0.28,75.64
3,2024-03-08 01:45:00,1,1.08,0.69,0.54,12.98
1,2024-02-09 03:15:00,1,1.38,0.13,0.28,88.29
3,2023-11-13 00:15:00,1,0.64,0.01,0.27,99.73
4,2023-10-19 20:45:00,2,0.96,0.77,0.63,13.69
3,2024-03-07 12:15:00,0,0.61,0.68,0.74,81.56
2,2023-12-22 02:00:00,0,0.67,0.51,0.35,96.54
2,2023-11-13 22:30:00,0,1.1,0.18,0.52,75.75
4,2024-02-02 09:30:00,0,1.39,0.15,0.46,55.25
1,2023-12-15 08:15:00,2,1.21,0.97,0.97,50.42
1,2023-09-04 15:45:00,1,1.35,0.01,0.17,3.86
4,2023-09-18 14:00:00,1,0.82,0.03,0.59,64.47
2,2023-10-26 18:45:00,1,1.01,0.81,0.53,43.4
2,2024-01-24 15:15:00,1,0.66,0.68,0.41,14.35
1,2024-01-02 05:30:00,1,1.17,0.37,0.5,93.13
1,2024-03-22 07:00:00,0,1.31,0.03,0.65,97.72
2,2023-10-12 13:00:00,2,0.96,0.14,0.4,25.39
4,2023-10-03 13:15:00,1,0.82,0.6,0.67,2.38
1,2023-09-07 15:15:00,0,0.95,0.43,0.09,26.56
2,2024-01-10 08:15:00,2,1.14,0.57,0.6,95.68
2,2023-12-21 16:00:00,2,0.85,1.0,0.62,54.61
3,2024-03-22 04:15:00,1,1.26,0.22,0.5,69.96
3,2024-01-20 11:15:00,0,1.14,0.11,0.53,91.44
3,2024-03-17 08:30:00,1,0.74,0.94,0.31,9.73
3,2024-02-10 23:45:00,0,1.24,0.03,0.62,59.8
1,2023-09-26 20:45:00,2,0.78,0.41,0.28,12.49
4,2024-03-03 20:30:00,2,1.23,0.12,0.52,9.97
4,2023-09-19 10:45:00,2,0.71,0.76,0.9,97.43
4,2024-01-29 08:30:00,1,0.89,0.13,0.31,19.74
3,2024-02-02 14:45:00,2,0.97,0.13,0.91,23.13
3,2024-01-04 08:45:00,2,1.13,0.08,0.29,93.84
1,2024-01-17 01:45:00,2,1.03,0.35,0.74,43.36
1,2023-09-16 04:00:00,2,0.94,0.17,0.9,99.23
4,2024-02-20 04:15:00,2,1.28,0.57,0.24,17.83
4,2024-02-10 17:15:00,0,0.88,0.1,0.75,2.46
4,2024-01-22 07:30:00,1,0.91,0.63,0.2,42.03
2,2024-02-03 07:45:00,0,1.34,0.24,0.46,66.69
3,2024-02-22 03:15:00,2,0.92,0.21,0.98,71.54
4,2024-03-04 01:30:00,2,0.96,0.14,0.92,57.01
1,2023-10-07 17:00:00,0,1.2,0.02,0.09,30.23
2,2023-09-19 11:30:00,0,1.26,0.78,0.84,1.97
1,2023-09-19 13:30:00,0,0.95,0.09,0.88,32.7
4,2023-09-07 14:45:00,2,0.88,0.47,0.13,50.17
3,2023-09-15 12:30:00,0,1.26,0.42,0.49,18.91
1,2023-10-25 06:00:00,2,1.26,0.59,0.78,50.95
3,2023-12-07 17:00:00,1,0.73,0.36,0.48,44.66
1,2024-03-02 08:45:00,1,1.27,0.15,0.23,55.58
2,2023-12-19 21:30:00,2,0.82,0.6,0.58,38.6
2,2024-02-06 04:15:00,0,0.93,0.86,0.67,82.21
1,2023-10-22 03:15:00,0,0.97,0.75,0.78,73.89
3,2024-02-13 16:45:00,2,1.27,0.38,0.16,83.25
1,2024-01-22 09:45:00,1,0.96,0.48,0.19,95.68
2,2023-12-01 03:45:00,1,0.62,0.94,0.98,89.46
3,2024-02-19 16:00:00,2,0.61,0.27,0.58,93.71
2,2024-01-10 23:30:00,0,1.06,0.31,0.35,75.31
3,2023-10-19 12:00:00,0,0.78,0.41,0.77,47.45
2,2024-03-13 10:15:00,2,1.04,0.45,0.8,11.51
3,2023-10-24 22:45:00,0,1.37,0.01,0.28,15.09
2,2023-11-14 07:00:00,0,1.33,0.78,0.3,5.06
3,2023-12-29 14:00:00,1,0.92,0.26,0.69,9.35
3,2023-09-12 21:30:00,2,0.83,0.27,0.91,75.17
4,2023-12-27 21:15:00,1,1.16,0.83,0.36,77.56
3,2023-10-20 16:00:00,2,1.24,0.69,0.01,53.12
3,2023-10-31 19:45:00,0,1.04,0.98,0.72,73.81
3,2023-11-30 00:00:00,2,0.73,0.84,0.74,62.24
3,2023-10-21 02:45:00,2,0.92,0.95,0.98,25.44
3,2024-03-15 23:45:00,0,0.81,0.04,0.82,4.18
4,2023-09-14 11:15:00,1,1.28,0.53,0.09,44.22
4,2024-03-08 10:30:00,2,1.34,0.72,0.41,25.29
4,2024-03-21 00:45:00,0,0.73,0.46,0.03,70.35
2,2024-01-21 07:30:00,2,1.32,0.11,0.14,62.17
1,2023-12-20 06:00:00,0,0.75,0.01,0.37,89.24
4,2023-11-27 16:00:00,1,0.83,0.97,0.77,82.08
1,2024-02-02 16:30:00,1,0.63,0.35,0.16,59.49
2,2024-02-01 17:15:00,1,1.27,0.12,0.66,56.47
4,2024-03-22 16:00:00,2,1.18,0.29,0.46,30.2
4,2023-11-20 15:45:00,2,0.93,0.43,0.63,59.24
4,2024-03-09 03:30:00,0,1.26,0.61,0.71,96.86
1,2023-12-05 14:30:00,2,1.35,0.78,0.11,1.87
4,2023-11-08 22:45:00,1,0.73,0.27,0.4,17.6
3,2023-11-27 13:00:00,0,1.2,0.58,0.97,74.05
4,2024-02-20 10:45:00,1,0.85,0.78,0.23,51.42
4,2023-10-06 22:30:00,2,1.13,0.62,0.93,82.45
3,2023-10-13 08:45:00,0,0.84,0.61,0.24,50.92
4,2024-03-13 21:00:00,2,1.28,0.72,0.69,83.91
3,2023-11-05 21:30:00,1,1.3,0.43,0.09,81.48
4,2023-11-14 16:00:00,2,0.83,0.05,0.53,98.76
3,2024-03-25 22:00:00,2,0.81,0.1,0.5,60.96
3,2023-11-22 15:30:00,0,1.16,0.88,0.82,62.14
3,2024-01-09 16:45:00,1,1.14,0.57,0.43,19.62
4,2024-01-03 01:00:00,2,1.19,0.61,0.51,33.42
1,2023-11-10 08:30:00,2,1.12,0.88,0.61,82.72
3,2023-12-09 00:45:00,0,1.36,0.75,0.11,50.68
3,2024-02-09 04:15:00,1,0.69,0.35,0.76,66.16
1,2023-10-12 18:45:00,1,0.78,0.62,0.42,81.52
4,2024-01-16 19:45:00,2,0.97,0.7,0.68,40.13
3,2023-10-30 00:15:00,1,0.84,0.77,0.2,43.09
2,2023-09-03 02:00:00,1,0.82,0.11,0.59,5.65
2,2024-02-11 12:00:00,2,1.37,0.32,0.61,21.39
1,2023-11-15 07:15:00,2,1.24,0.62,0.81,29.33
1,2024-01-27 08:30:00,0,0.61,0.33,0.46,15.67
4,2024-01-21 12:30:00,2,0.66,0.85,0.64,3.28
2,2023-09-14 21:00:00,1,1.34,0.79,0.61,37.53
4,2023-10-09 07:30:00,1,1.28,0.82,0.25,66.57
1,2024-01-19 05:15:00,2,0.8,0.89,0.14,10.84
1,2024-02-25 14:15:00,1,0.82,0.96,0.24,33.01
3,2023-10-14 22:45:00,2,1.04,0.78,0.38,28.31
2,2024-01-03 12:00:00,0,0.62,0.86,0.2,29.94
4,2023-11-04 16:30:00,1,0.65,0.38,0.8,61.55
4,2024-02-25 14:30:00,0,1.05,0.84,0.0,64.71
4,2023-11-19 21:45:00,2,0.73,0.81,0.93,14.16
1,2023-10-04 23:15:00,2,1.11,0.0,0.94,7.83
3,2023-11-05 10:30:00,2,1.13,0.18,0.17,52.1
4,2024-02-08 22:30:00,2,0.67,0.2,0.11,96.95
1,2023-09-10 16:45:00,2,1.34,0.59,0.55,68.58
3,2023-09-15 13:45:00,2,1.38,0.29,0.24,61.2
1,2024-03-06 18:45:00,1,1.1,0.53,0.35,58.06
2,2023-09-29 22:30:00,1,0.76,0.41,0.84,86.57
2,2024-01-29 13:30:00,0,0.89,0.98,0.97,87.86
2,2023-10-10 17:30:00,0,1.15,0.56,0.66,99.57
2,2024-02-29 09:15:00,2,0.64,0.72,0.9,41.74
2,2023-10-18 07:15:00,1,1.0,0.51,0.65,29.21
2,2023-09-06 00:30:00,2,1.14,0.28,0.34,86.83
4,2023-12-02 08:45:00,2,1.17,0.43,0.25,8.66
2,2024-01-10 02:15:00,1,0.86,0.25,0.69,38.11
3,2024-03-01 10:30:00,0,1.03,0.41,0.25,73.72
1,2024-03-01 08:45:00,1,0.79,0.26,0.36,46.71
2,2023-10-31 07:15:00,2,0.95,0.35,0.17,96.51
3,2023-11-23 09:15:00,1,1.18,0.16,0.49,75.0
4,2023-11-08 19:45:00,1,0.76,0.11,0.61,50.24
4,2024-02-25 23:00:00,1,1.3,0.54,0.8,39.1
3,2023-10-07 13:30:00,0,0.83,0.87,0.79,2.01
2,2023-10-09 02:00:00,2,1.35,0.17,0.73,6.23
1,2024-01-08 00:30:00,1,1.28,0.52,0.73,39.95
2,2023-09-24 19:15:00,0,0.96,0.73,0.82,65.06
3,2023-10-28 01:30:00,2,0.72,0.86,0.27,84.52
3,2023-11-07 10:30:00,1,1.01,0.65,0.25,61.83
1,2024-03-04 00:30:00,1,0.95,0.77,0.88,86.0
2,2023-09-09 18:30:00,1,1.02,0.46,0.23,97.72
4,2024-02-27 07:30:00,0,1.19,0.63,0.63,54.78
4,2024-03-19 04:15:00,0,1.12,0.69,0.38,85.27
4,2023-12-13 17:15:00,1,0.9,0.07,0.43,51.67
4,2024-02-27 14:30:00,0,0.85,0.72,0.53,77.4
2,2024-02-04 13:15:00,0,1.13,0.22,0.2,43.35
3,2024-02-29 08:30:00,0,0.85,0.21,0.29,18.47
3,2024-02-04 19:15:00,1,1.33,0.84,0.04,87.18
3,2024-03-17 08:15:00,1,0.97,0.8,0.82,3.62
2,2023-09-05 18:00:00,2,0.62,0.25,0.21,89.12
3,2023-10-06 07:30:00,0,1.32,0.32,0.04,4.28
2,2024-01-14 21:45:00,0,0.95,0.44,0.67,25.43
4,2023-09-17 04:00:00,0,1.02,0.62,0.56,34.51
3,2023-09-11 04:00:00,2,0.87,0.77,0.16,69.35
4,2024-03-04 00:00:00,2,1.14,0.11,0.37,18.76
3,2024-03-01 08:30:00,1,1.12,0.54,0.35,98.25
1,2024-02-05 22:15:00,2,1.1,0.91,0.43,26.37
3,2023-10-23 11:45:00,1,0.65,0.14,0.93,56.15
4,2023-09-02 12:45:00,0,1.32,0.05,0.75,69.34
4,2023-11-12 10:30:00,2,1.01,0.84,0.87,47.8
1,2024-02-05 12:15:00,1,0.91,0.34,0.53,76.76
3,2023-10-09 17:30:00,2,0.65,0.91,1.0,31.54
1,2024-02-26 03:00:00,1,0.71,0.94,0.44,93.49
4,2023-11-20 18:15:00,1,1.29,0.22,0.55,50.59
1,2023-10-12 05:15:00,2,1.17,0.53,0.68,95.4
3,2023-11-24 08:45:00,0,1.35,0.31,0.1,72.77
4,2024-01-21 21:00:00,0,0.68,0.09,0.47,20.21
4,2023-10-25 20:45:00,2,0.66,0.41,0.53,4.22
1,2024-01-28 21:30:00,1,1.27,0.62,0.65,42.65
3,2023-09-03 20:00:00,0,1.07,0.74,0.31,15.29
4,2024-01-29 11:30:00,2,1.19,0.1,0.84,58.15
1,2024-02-01 07:15:00,2,1.1,0.32,0.01,15.29
1,2023-09-05 03:30:00,1,0.68,0.85,0.77,96.58
1,2024-03-04 22:45:00,0,0.96,0.18,0.88,33.04
1,2023-10-09 12:15:00,2,1.15,0.83,0.76,59.96
1,2024-03-16 15:30:00,0,0.74,0.87,0.51,97.67
2,2024-03-13 08:15:00,0,1.3,0.43,0.26,11.31
3,2024-01-25 07:45:00,0,1.02,0.21,0.63,89.74
1,2023-10-01 23:45:00,1,0.94,0.8,0.59,86.04
1,2023-09-28 06:00:00,1,1.09,0.43,0.16,86.02
4,2023-10-16 23:00:00,0,0.9,0.09,0.61,63.09
3,2024-02-06 19:00:00,0,0.75,0.07,0.62,27.42
3,2023-12-18 14:30:00,1,0.76,0.15,0.47,57.95
2,2023-09-29 00:30:00,2,1.23,0.82,0.29,15.89
3,2023-10-10 03:30:00,0,0.89,0.27,0.45,23.2
3,2023-10-27 09:00:00,1,1.06,0.88,0.63,3.02
3,2023-09-11 22:00:00,0,0.69,0.33,0.11,10.88
3,2023-09-21 11:45:00,0,1.01,0.56,0.15,71.31
4,2023-12-27 22:15:00,2,1.28,0.65,0.48,73.94
2,2024-03-25 02:30:00,0,0.72,0.06,0.62,50.09
4,2024-03-18 08:00:00,2,0.8,0.89,0.43,25.99
2,2023-09-15 21:15:00,0,0.95,0.98,0.31,85.77
1,2024-02-19 15:30:00,2,0.75,0.66,0.66,44.61
3,2023-09-27 04:30:00,0,1.31,0.7,0.48,1.46
4,2023-12-24 15:30:00,1,1.09,0.65,0.82,87.4
2,2023-11-15 18:15:00,0,1.04,0.03,0.55,6.41
1,2024-01-08 23:00:00,0,1.06,0.39,0.38,59.72
1,2023-11-08 11:45:00,1,1.22,0.85,0.27,68.89
1,2023-10-25 07:45:00,0,1.12,0.51,0.85,77.72
4,2024-03-19 00:00:00,2,1.14,0.76,0.69,28.45
3,2023-09-12 08:45:00,0,0.66,0.32,0.26,36.21
4,2023-10-13 06:45:00,1,1.17,0.63,0.5,56.32
1,2023-12-12 16:30:00,1,1.27,0.58,0.19,79.69
4,2023-12-22 23:45:00,0,0.68,0.93,0.84,39.6
4,2023-10-15 07:15:00,2,0.99,0.8,0.86,68.01
3,2024-02-03 21:15:00,0,1.27,0.3,1.0,22.7
4,2024-03-02 02:15:00,2,0.8,0.42,0.29,46.11
4,2023-09-27 18:00:00,1,0.86,0.67,0.33,92.47
4,2023-11-25 04:45:00,1,0.86,0.44,0.55,72.91
1,2023-10-30 19:45:00,1,1.33,0.82,0.93,10.16
1,2023-09-26 10:30:00,0,1.25,0.09,0.29,69.37
2,2023-10-15 10:30:00,0,0.66,0.76,0.45,96.94
2,2023-09-11 02:00:00,1,0.9,0.95,0.33,21.3
1,2023-11-27 09:45:00,0,1.26,0.48,0.36,92.37
4,2023-09-13 16:30:00,2,0.71,0.42,0.05,13.95
2,2024-01-02 15:45:00,0,0.9,0.96,0.1,1.67
4,2024-01-30 03:00:00,2,1.25,0.41,0.1,60.64
3,2023-09-24 20:00:00,1,1.02,0.32,0.19,81.07
2,2023-09-27 09:45:00,0,0.8,0.52,0.43,56.71
3,2023-09-05 13:00:00,1,1.23,0.12,0.06,31.5
4,2024-01-16 20:45:00,0,0.68,0.26,0.68,82.65
4,2023-10-24 09:00:00,1,1.33,0.0,0.79,80.64
4,2024-03-05 04:15:00,0,0.9,0.55,0.09,63.36
2,2023-09-12 09:15:00,2,0.74,0.93,0.4,83.18
3,2023-12-02 22:45:00,0,0.61,0.24,0.65,65.68
1,2024-01-05 09:45:00,1,0.92,0.48,0.67,26.88
2,2024-01-18 14:30:00,0,1.25,0.13,0.81,70.12
1,2023-11-13 19:15:00,0,1.4,0.83,0.13,98.87
4,2024-02-10 20:45:00,0,0.69,0.41,0.48,84.61
2,2023-12-04 03:45:00,2,1.36,0.91,0.23,96.43
1,2024-01-16 02:00:00,2,0.92,0.28,0.79,64.92
3,2023-12-09 22:00:00,1,0.73,0.71,0.09,57.07
4,2023-12-18 10:45:00,1,1.04,0.44,0.03,42.72
2,2023-11-15 16:15:00,1,1.38,0.04,0.61,97.04
3,2023-10-24 12:45:00,1,0.98,0.84,0.23,96.83
3,2024-01-08 08:30:00,2,1.32,0.93,0.09,32.99
3,2023-12-25 02:00:00,0,0.71,0.29,0.59,52.77
2,2024-01-22 10:00:00,2,0.78,0.08,0.18,18.4
3,2023-09-01 19:15:00,1,1.14,0.19,0.81,82.51
2,2024-02-06 06:15:00,1,1.09,0.57,0.72,22.71
